0.0, 1.0, 1.618
1.0, 1.618, 0.0
-1.0, 1.618, 0.0

0.0, 1.0, 1.618
1.618, 0.0, 1.0
1.0, 1.618, 0.0

0.0, 1.0, 1.618
0.0, -1.0, 1.618
1.618, 0.0, 1.0

0.0, 1.0, 1.618
-1.618, 0.0, 1.0
0.0, -1.0, 1.618

0.0, 1.0, 1.618
-1.0, 1.618, 0.0
-1.618, 0.0, 1.0

0.0, 1.0, -1.618
-1.0, 1.618, 0.0
1.0, 1.618, 0.0

1.618, 0.0, -1.0
1.0, 1.618, 0.0
1.618, 0.0, 1.0

1.0, -1.618, 0.0
1.618, 0.0, 1.0
0.0, -1.0, 1.618

-1.0, -1.618, 0.0
0.0, -1.0, 1.618
-1.618, 0.0, 1.0

-1.618, 0.0, -1.0
-1.618, 0.0, 1.0
-1.0, 1.618, 0.0

1.0, 1.618, 0.0
1.618, 0.0, -1.0
0.0, 1.0, -1.618

1.618, 0.0, 1.0
1.0, -1.618, 0.0
1.618, 0.0, -1.0

0.0, -1.0, 1.618
-1.0, -1.618, 0.0
1.0, -1.618, 0.0

-1.618, 0.0, 1.0
-1.618, 0.0, -1.0
-1.0, -1.618, 0.0

-1.0, 1.618, 0.0
0.0, 1.0, -1.618
-1.618, 0.0, -1.0

0.0, -1.0, -1.618
0.0, 1.0, -1.618
1.618, 0.0, -1.0

0.0, -1.0, -1.618
1.618, 0.0, -1.0
1.0, -1.618, 0.0

0.0, -1.0, -1.618
1.0, -1.618, 0.0
-1.0, -1.618, 0.0

0.0, -1.0, -1.618
-1.0, -1.618, 0.0
-1.618, 0.0, -1.0

0.0, -1.0, -1.618
-1.618, 0.0, -1.0
0.0, 1.0, -1.618
